Bus Hound 6.01 capture on Windows XP Service Pack 3 (x86). Complements of www.perisoft.net

command

  Phase  - Phase Type
            IN    Data in transfer           
            OUT   Data out transfer          
  Data   - Hex dump of the data transferred
  Cmd... - Position in the captured data


Phase  Data                                                                                                    Cmd.Phase.Ofs(rep)
-----  ------------------------------------------------------------------------------------------------------  ------------------
OUT    7e 9d 32 81  10 21 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 81         1.1.0        
       01 0d                                                                                                          1.1.32       
IN     7e                                                                                                             2.1.0        
IN     9d                                                                                                             3.1.0        
IN     32                                                                                                             4.1.0        
IN     81                                                                                                             5.1.0        
IN     10                                                                                                             6.1.0        
IN     16                                                                                                             7.1.0        
IN     04                                                                                                             8.1.0        
IN     05                                                                                                             9.1.0        
IN     02                                                                                                            10.1.0        
IN     17                                                                                                            11.1.0        
IN     45                                                                                                            12.1.0        
IN     10                                                                                                            13.1.0        
IN     20                                                                                                            14.1.0        
IN     00                                                                                                            15.1.0(2)     
IN     05                                                                                                            17.1.0        
IN     00                                                                                                            18.1.0        
IN     ff                                                                                                            19.1.0(9)     
IN     00                                                                                                            27.1.0(5)     
IN     09                                                                                                            33.1.0        
IN     0b                                                                                                            34.1.0        
IN     0d                                                                                                            35.1.0        
OUT    7e 9d 32 81  10 21 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 81        36.1.0        
       01 0d                                                                                                         36.1.32       
IN     7e                                                                                                            37.1.0        
IN     9d                                                                                                            38.1.0        
IN     32                                                                                                            39.1.0        
IN     81                                                                                                            40.1.0        
IN     10                                                                                                            41.1.0        
IN     16                                                                                                            42.1.0        
IN     04                                                                                                            43.1.0        
IN     05                                                                                                            44.1.0        
IN     02                                                                                                            45.1.0        
IN     17                                                                                                            46.1.0        
IN     45                                                                                                            47.1.0        
IN     10                                                                                                            48.1.0        
IN     20                                                                                                            49.1.0        
IN     00                                                                                                            50.1.0(2)     
IN     05                                                                                                            52.1.0        
IN     00                                                                                                            53.1.0        
IN     ff                                                                                                            54.1.0(9)     
IN     00                                                                                                            62.1.0(5)     
IN     09                                                                                                            68.1.0        
IN     0b                                                                                                            69.1.0        
IN     0d                                                                                                            70.1.0        
OUT    7e 9d 32 81  10 21 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 81        71.1.0        
       01 0d                                                                                                         71.1.32       
IN     7e                                                                                                            72.1.0        
IN     9d                                                                                                            73.1.0        
IN     32                                                                                                            74.1.0        
IN     81                                                                                                            75.1.0        
IN     10                                                                                                            76.1.0        
IN     16                                                                                                            77.1.0        
IN     04                                                                                                            78.1.0        
IN     05                                                                                                            79.1.0        
IN     02                                                                                                            80.1.0        
IN     17                                                                                                            81.1.0        
IN     45                                                                                                            82.1.0        
IN     10                                                                                                            83.1.0        
IN     20                                                                                                            84.1.0        
IN     00                                                                                                            85.1.0(2)     
IN     05                                                                                                            87.1.0        
IN     00                                                                                                            88.1.0        
IN     ff                                                                                                            89.1.0(9)     
IN     00                                                                                                            97.1.0(5)     
IN     09                                                                                                           103.1.0        
IN     0b                                                                                                           104.1.0        
IN     0d                                                                                                           105.1.0        
OUT    7e 9d 32 81  10 21 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 81       106.1.0        
       01 0d                                                                                                        106.1.32       
IN     7e                                                                                                           107.1.0        
IN     9d                                                                                                           108.1.0        
IN     32                                                                                                           109.1.0        
IN     81                                                                                                           110.1.0        
IN     10                                                                                                           111.1.0        
IN     16                                                                                                           112.1.0        
IN     04                                                                                                           113.1.0        
IN     05                                                                                                           114.1.0        
IN     02                                                                                                           115.1.0        
IN     17                                                                                                           116.1.0        
IN     45                                                                                                           117.1.0        
IN     10                                                                                                           118.1.0        
IN     21                                                                                                           119.1.0        
IN     00                                                                                                           120.1.0(2)     
IN     05                                                                                                           122.1.0        
IN     00                                                                                                           123.1.0        
IN     3a                                                                                                           124.1.0        
IN     83                                                                                                           125.1.0        
IN     11                                                                                                           126.1.0        
IN     00                                                                                                           127.1.0        
IN     85                                                                                                           128.1.0        
IN     20                                                                                                           129.1.0        
IN     a5                                                                                                           130.1.0        
IN     8d                                                                                                           131.1.0        
IN     01                                                                                                           132.1.0        
IN     ff                                                                                                           133.1.0        
IN     00                                                                                                           134.1.0(4)     
IN     b8                                                                                                           138.1.0        
IN     05                                                                                                           139.1.0        
IN     0d                                                                                                           140.1.0        
OUT    7e 9d 32 81  10 22 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 82       141.1.0        
       01 0d                                                                                                        141.1.32       
IN     7e                                                                                                           142.1.0        
IN     9d                                                                                                           143.1.0        
IN     32                                                                                                           144.1.0        
IN     81                                                                                                           145.1.0        
IN     10                                                                                                           146.1.0        
IN     16                                                                                                           147.1.0        
IN     04                                                                                                           148.1.0        
IN     05                                                                                                           149.1.0        
IN     02                                                                                                           150.1.0        
IN     17                                                                                                           151.1.0        
IN     45                                                                                                           152.1.0        
IN     12                                                                                                           153.1.0        
IN     21                                                                                                           154.1.0        
IN     00                                                                                                           155.1.0(2)     
IN     05                                                                                                           157.1.0        
IN     00                                                                                                           158.1.0        
IN     ff                                                                                                           159.1.0(8)     
IN     01                                                                                                           167.1.0        
IN     ff                                                                                                           168.1.0        
IN     00                                                                                                           169.1.0(4)     
IN     0d                                                                                                           173.1.0        
IN     0b                                                                                                           174.1.0        
IN     0d                                                                                                           175.1.0        
OUT    7e 9d 32 81  10 22 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 82       176.1.0        
       01 0d                                                                                                        176.1.32       
IN     7e                                                                                                           177.1.0        
IN     9d                                                                                                           178.1.0        
IN     32                                                                                                           179.1.0        
IN     81                                                                                                           180.1.0        
IN     10                                                                                                           181.1.0        
IN     16                                                                                                           182.1.0        
IN     04                                                                                                           183.1.0        
IN     05                                                                                                           184.1.0        
IN     02                                                                                                           185.1.0        
IN     17                                                                                                           186.1.0        
IN     45                                                                                                           187.1.0        
IN     12                                                                                                           188.1.0        
IN     21                                                                                                           189.1.0        
IN     00                                                                                                           190.1.0(2)     
IN     05                                                                                                           192.1.0        
IN     00                                                                                                           193.1.0        
IN     ff                                                                                                           194.1.0(8)     
IN     01                                                                                                           202.1.0        
IN     ff                                                                                                           203.1.0        
IN     00                                                                                                           204.1.0(4)     
IN     0d                                                                                                           208.1.0        
IN     0b                                                                                                           209.1.0        
IN     0d                                                                                                           210.1.0        
OUT    7e 9d 32 81  10 22 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 82       211.1.0        
       01 0d                                                                                                        211.1.32       
IN     7e                                                                                                           212.1.0        
IN     9d                                                                                                           213.1.0        
IN     32                                                                                                           214.1.0        
IN     81                                                                                                           215.1.0        
IN     10                                                                                                           216.1.0        
IN     16                                                                                                           217.1.0        
IN     04                                                                                                           218.1.0        
IN     05                                                                                                           219.1.0        
IN     02                                                                                                           220.1.0        
IN     17                                                                                                           221.1.0        
IN     45                                                                                                           222.1.0        
IN     12                                                                                                           223.1.0        
IN     21                                                                                                           224.1.0        
IN     00                                                                                                           225.1.0(2)     
IN     05                                                                                                           227.1.0        
IN     00                                                                                                           228.1.0        
IN     ff                                                                                                           229.1.0(8)     
IN     01                                                                                                           237.1.0        
IN     ff                                                                                                           238.1.0        
IN     00                                                                                                           239.1.0(4)     
IN     0d                                                                                                           243.1.0        
IN     0b                                                                                                           244.1.0        
IN     0d                                                                                                           245.1.0        
OUT    7e 9d 32 81  10 22 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 82       246.1.0        
       01 0d                                                                                                        246.1.32       
IN     7e                                                                                                           247.1.0        
IN     9d                                                                                                           248.1.0        
IN     32                                                                                                           249.1.0        
IN     81                                                                                                           250.1.0        
IN     10                                                                                                           251.1.0        
IN     16                                                                                                           252.1.0        
IN     04                                                                                                           253.1.0        
IN     05                                                                                                           254.1.0        
IN     02                                                                                                           255.1.0        
IN     17                                                                                                           256.1.0        
IN     45                                                                                                           257.1.0        
IN     12                                                                                                           258.1.0        
IN     22                                                                                                           259.1.0        
IN     00                                                                                                           260.1.0(2)     
IN     05                                                                                                           262.1.0        
IN     00                                                                                                           263.1.0        
IN     3a                                                                                                           264.1.0        
IN     83                                                                                                           265.1.0        
IN     11                                                                                                           266.1.0        
IN     00                                                                                                           267.1.0        
IN     85                                                                                                           268.1.0        
IN     20                                                                                                           269.1.0        
IN     a6                                                                                                           270.1.0        
IN     8d                                                                                                           271.1.0        
IN     01                                                                                                           272.1.0        
IN     ff                                                                                                           273.1.0        
IN     00                                                                                                           274.1.0(4)     
IN     bc                                                                                                           278.1.0        
IN     05                                                                                                           279.1.0        
IN     0d                                                                                                           280.1.0        
